City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Goundam,ML,16.41,-3.67,79.59,16,2,9.26,clear sky
83,Isabela,PH,6.71,121.97,80.6,88,75,2.24,broken clouds
84,Karratha,AU,-20.74,116.85,89.6,39,38,19.42,scattered clouds
85,Puerto Ayora,EC,-0.74,-90.35,68.0,95,99,7.0,overcast clouds
86,Hurghada,EG,27.26,33.81,78.8,57,0,8.05,clear sky
87,Lovozero,RU,68.0,35.01,27.81,96,5,11.99,clear sky
88,Puerto Madero,MX,14.72,-92.42,77.92,80,82,4.05,broken clouds
89,Lorengau,PG,-2.02,147.27,85.24,67,29,6.11,scattered clouds
90,Ribeira Grande,PT,38.52,-28.7,68.04,86,85,15.3,overcast clouds
91,Kahului,US,20.89,-156.47,80.6,74,40,5.82,scattered clouds
92,Tuktoyaktuk,CA,69.45,-133.04,5.41,95,82,5.88,broken clouds
93,Phalombe,MW,-15.81,35.65,86.61,35,0,5.35,clear sky
94,Mahebourg,MU,-20.41,57.7,73.99,52,0,15.01,light rain
95,Prince George,CA,53.92,-122.75,35.01,98,100,3.56,overcast clouds
96,Gambela,ET,8.25,34.58,82.0,65,52,3.91,broken clouds
97,Miles City,US,46.41,-105.84,41.0,80,90,4.7,overcast clouds
98,Bengkulu,ID,-3.8,102.27,84.27,67,15,7.7,moderate rain
99,Minab,IR,27.15,57.08,91.4,21,0,4.7,clear sky
100,Benghazi,LY,32.12,20.07,71.38,63,49,10.92,scattered clouds
101,Ganzhou,CN,28.82,115.43,72.72,57,3,7.0,clear sky
102,Hasaki,JP,35.73,140.83,63.0,55,75,9.17,broken clouds
103,Khatanga,RU,71.97,102.5,-2.43,85,0,9.08,clear sky
104,East London,ZA,-33.02,27.91,60.8,67,20,12.75,few clouds
105,Cabo Rojo,PR,18.09,-67.15,80.01,90,100,10.85,overcast clouds
106,Sydney,AU,-33.87,151.21,68.0,68,75,12.75,broken clouds
107,Saint Anthony,US,45.02,-93.22,32.0,74,90,0.34,overcast clouds
108,Iranduba,BR,-3.28,-60.19,77.0,94,75,5.82,light rain
109,Butaritari,KI,3.07,172.79,82.49,78,2,12.46,clear sky
110,Ilulissat,GL,69.22,-51.1,17.6,67,95,6.93,overcast clouds
111,Aksu,CN,41.12,80.26,57.18,33,100,5.44,overcast clouds
112,Tura,IN,25.52,90.22,87.3,54,90,2.28,overcast clouds
113,Hermanus,ZA,-34.42,19.23,63.0,56,0,1.01,clear sky
114,Tavda,RU,58.04,65.27,36.81,87,23,6.67,few clouds
115,Narsaq,GL,60.92,-46.05,28.4,86,93,5.82,overcast clouds
116,Barrow,US,71.29,-156.79,24.8,79,90,18.34,mist
117,Chokurdakh,RU,70.63,147.92,-3.8,93,100,1.72,overcast clouds
118,Sal Rei,CV,16.18,-22.92,77.0,78,0,21.92,clear sky
119,Faya,SA,18.39,42.45,66.2,27,0,1.61,clear sky
120,Hobart,AU,-42.88,147.33,61.0,62,90,16.11,overcast clouds
121,Nombre De Dios,MX,23.85,-104.23,52.0,44,0,5.99,clear sky
122,Kabul,AF,34.5,69.42,60.8,6,0,2.24,clear sky
123,Atambua,ID,-9.11,124.89,84.6,59,64,3.13,light rain
124,Baykit,RU,61.67,96.37,15.75,91,100,2.77,overcast clouds
125,Meulaboh,ID,4.14,96.13,85.96,61,100,8.19,overcast clouds
126,Cabra,ES,37.47,-4.44,48.2,93,0,2.24,clear sky
127,Miandrivazo,MG,-19.52,45.47,91.09,32,0,0.31,clear sky
128,Murgab,TM,37.5,61.97,57.2,22,0,9.17,clear sky
129,Airai,TL,-8.93,125.41,73.02,71,71,2.77,broken clouds
130,Avarua,CK,-21.21,-159.78,73.4,73,100,5.82,overcast clouds
131,Tuatapere,NZ,-46.13,167.68,57.99,94,100,1.01,moderate rain
132,Hithadhoo,MV,-0.6,73.08,83.3,76,100,11.97,light rain
133,Darhan,MN,49.49,105.92,34.65,92,100,5.7,overcast clouds
134,Fare,PF,-16.7,-151.02,80.22,81,19,11.43,light rain
135,Alofi,NU,-19.06,-169.92,73.4,73,59,16.11,light rain
136,Ancud,CL,-41.87,-73.82,46.99,87,0,12.75,clear sky
137,Mildura,AU,-34.2,142.15,66.2,63,75,14.99,broken clouds
138,Iqaluit,CA,63.75,-68.51,3.09,93,35,9.91,scattered clouds
139,Vila Franca Do Campo,PT,37.72,-25.43,66.2,88,75,5.82,broken clouds
140,Port-Gentil,GA,-0.72,8.78,78.8,94,40,3.36,scattered clouds
141,Alappuzha,IN,9.49,76.33,83.82,66,77,6.38,broken clouds
142,Dikson,RU,73.51,80.55,10.26,94,100,25.99,overcast clouds
143,Shimoda,JP,34.67,138.95,64.4,52,40,14.99,scattered clouds
144,Lompoc,US,34.64,-120.46,55.4,93,75,6.31,broken clouds
145,Belaya Gora,RU,68.53,146.42,5.32,95,100,7.45,light snow
146,Sakaiminato,JP,35.55,133.23,60.8,48,40,11.41,scattered clouds
147,Bethel,US,41.37,-73.41,41.0,95,100,3.0,overcast clouds
148,Norman Wells,CA,65.28,-126.83,7.63,93,24,4.0,few clouds
149,Sept-Iles,CA,50.2,-66.38,27.0,71,0,3.0,clear sky
150,Sitka,US,57.05,-135.33,35.6,93,40,4.7,scattered clouds
151,Phulji,PK,26.88,67.68,91.53,11,0,4.47,clear sky
152,Bereda,ES,43.27,-7.54,44.01,100,1,1.01,clear sky
153,Beringovskiy,RU,63.05,179.32,25.54,79,0,2.57,clear sky
154,Puerto Maldonado,PE,-12.6,-69.18,69.73,98,100,5.57,heavy intensity rain
155,Provideniya,RU,64.38,-173.3,24.22,87,0,2.89,clear sky
156,Cape Town,ZA,-33.93,18.42,62.01,54,0,5.82,clear sky
157,Orsha,BY,54.52,30.41,44.6,100,90,4.47,light rain
158,Pudozh,RU,61.81,36.53,46.8,95,100,6.29,light rain
159,Cidreira,BR,-30.18,-50.21,58.23,69,100,6.17,overcast clouds
160,Fortuna,US,40.6,-124.16,44.6,93,1,1.77,clear sky
161,Nagua,DO,19.38,-69.85,73.0,98,99,3.6,overcast clouds
162,Ambilobe,MG,-13.2,49.05,92.25,32,0,13.56,clear sky
163,Ilmajoki,FI,62.73,22.57,45.0,93,90,3.36,overcast clouds
164,Varhaug,NO,58.61,5.65,48.0,89,100,10.0,overcast clouds
165,Veranopolis,BR,-28.94,-51.55,51.01,68,100,1.99,overcast clouds
166,Sergeyevka,KZ,53.88,67.42,36.9,80,0,9.33,clear sky
167,Buraydah,SA,26.33,43.98,68.0,32,0,5.82,clear sky
168,Ixtapa,MX,20.7,-105.2,78.01,88,0,2.21,clear sky
169,Vagur,FO,61.47,-6.81,48.51,86,100,38.54,overcast clouds
170,Harrison,US,30.41,-89.04,53.6,71,1,11.41,clear sky
171,Port Lincoln,AU,-34.73,135.87,57.38,76,100,20.4,overcast clouds
