City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
499,Nyanguge,TZ,75.54,overcast clouds,-2.55,33.2,Kisandu Guest House
501,Naraina,IN,86.0,haze,26.78,75.2,Shri Jayatram Sansthan
505,Celestun,MX,77.41,light rain,20.87,-90.4,Posada Lilia
506,Maiduguri,NG,83.3,clear sky,11.85,13.16,College of Nursing & Midwifery Female's Hostel
508,Salme,NP,80.6,few clouds,28.04,85.09,
512,Makakilo City,US,80.6,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
514,Cockburn Town,TC,82.69,light rain,21.46,-71.14,Osprey Beach Hotel
515,Noumea,NC,81.0,overcast clouds,-22.28,166.46,Hôtel Le Lagon
516,Bowen,AU,89.6,clear sky,-20.02,148.23,Castle Motor Lodge Motel
519,Buala,SB,78.49,light rain,-8.14,159.59,Maringe Lagoon Lodge
523,Bang Saphan,TH,81.5,broken clouds,11.21,99.51,Ladawan Boutique Hotel
524,Inhambane,MZ,80.6,scattered clouds,-23.86,35.38,Oceano
528,Salug,PH,84.54,overcast clouds,8.11,122.78,Jesser's House
529,Nanyamba,TZ,89.6,broken clouds,-10.68,39.83,Busati Lodge Nanyamba
531,Auki,SB,76.5,light rain,-8.77,160.7,Auki Motel
534,Gold Coast,AU,80.01,clear sky,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
537,Maraba,BR,78.8,shower rain,-5.37,-49.12,Hotel Del Principe
539,Tecolutilla,MX,75.92,heavy intensity rain,18.28,-93.32,La Campesina
546,Thinadhoo,MV,83.53,clear sky,0.53,72.93,
547,San Rafael Del Sur,NI,75.33,overcast clouds,11.85,-86.44,Hospedaje El Chino
548,Matongo,TZ,76.95,overcast clouds,-2.38,34.08,
549,Kaduqli,SD,84.88,scattered clouds,11.02,29.72,فندق الله جابو
550,Andros Town,BS,77.0,few clouds,24.7,-77.77,Hanks place
552,San Juan Del Sur,NI,78.4,overcast clouds,11.25,-85.87,Nuestra Casa
553,Harper,LR,78.13,light rain,4.38,-7.72,Screensaver
563,Torit,SS,81.18,light rain,4.41,32.57,Diplomat Guest House
568,Napnapan,PH,81.86,overcast clouds,10.71,122.39,Bearland Residences
569,Kambia,SL,82.4,broken clouds,9.12,-12.92,Hotel Moriya
571,Merauke,ID,84.16,clear sky,-8.47,140.33,
572,Kabwe,ZM,84.65,clear sky,-14.45,28.45,Tuskers
577,Iralaya,HN,79.86,overcast clouds,15.0,-83.23,Iglesia morava renovada
580,Puerto Escondido,MX,78.48,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
583,Birnin Kebbi,NG,79.93,clear sky,12.45,4.2,Saffar Guest Inn Ltd
585,Ende,ID,85.6,light rain,-8.84,121.66,Dwi Putra Hotel - Ende
586,Kutum,SD,78.04,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
587,Okitipupa,NG,77.18,overcast clouds,6.5,4.78,Coastal Hotel & Suites
589,Ambovombe,MG,79.41,clear sky,-25.17,46.08,MONJA Talilisoa
592,Conceicao Do Araguaia,BR,75.87,overcast clouds,-8.26,-49.26,Tarumã Tropical Hotel
594,Samarai,PG,81.64,overcast clouds,-10.62,150.67,Nuli Sapi
607,Sibolga,ID,87.33,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
608,San Policarpo,PH,83.5,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
613,Ballina,AU,80.6,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
619,Akyab,MM,86.47,overcast clouds,20.15,92.9,Hotel Memory
624,Hoi An,VN,84.2,scattered clouds,15.88,108.33,Belle Maison Hadana Hoi An managed by H&K Hospitality
626,Poum,NC,77.81,overcast clouds,-20.23,164.02,Gîte kajeon
627,Filingue,NE,82.53,clear sky,14.35,3.32,
631,Eydhafushi,MV,82.74,overcast clouds,5.1,73.07,Soneva Fushi
632,Quang Ngai,VN,82.09,light rain,15.12,108.8,Central Hotel
636,Saint-Philippe,RE,77.0,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
637,Curuca,BR,76.51,overcast clouds,-0.73,-47.85,Hotel Curuça
639,Oussouye,SN,75.2,clear sky,12.48,-16.55,Auberge du Routard
643,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
648,Mae Chan,TH,75.2,broken clouds,20.15,99.85,Kiang Dao Resort
652,Marsh Harbour,BS,80.6,clear sky,26.54,-77.06,Abaco Beach Resort
663,Riohacha,CO,77.4,scattered clouds,11.54,-72.91,Hotel Taroa
664,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
665,Aranos,,77.05,clear sky,-24.13,19.12,Ley-Lia Guest House
668,Caravelas,BR,75.58,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
672,Maun,BW,84.2,clear sky,-19.98,23.42,Enviro Villa
673,Ibra,OM,87.85,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
674,Tondano,ID,78.98,light rain,1.3,124.91,Villa Bella
683,Takoradi,GH,79.3,clear sky,4.88,-1.76,Raybow International Hotel
684,Bayji,IQ,86.11,clear sky,34.93,43.49,قريه جديده
685,Bam,IR,76.19,clear sky,29.11,58.36,Bam Tourist Hotel
688,Padang,ID,85.17,overcast clouds,-0.95,100.35,Mercure Padang
690,Kingston,JM,80.6,thunderstorm,18.0,-76.79,The Jamaica Pegasus Hotel
691,Amahai,ID,84.11,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
692,Antalaha,MG,76.57,light rain,-14.9,50.28,Hotel Vitasoa
