City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2020-10-28 21:16:55,57.79,-152.41,41.0,56,75,8.05
1,Hobyo,SO,2020-10-28 21:17:35,5.35,48.53,79.36,81,76,10.54
2,Bethel,US,2020-10-28 21:15:50,41.37,-73.41,53.6,87,90,4.7
3,Ponta Do Sol,PT,2020-10-28 21:16:12,32.67,-17.1,68.0,72,40,5.82
4,Sakaiminato,JP,2020-10-28 21:24:37,35.55,133.23,55.4,93,75,3.36
5,Ca Mau,VN,2020-10-28 21:24:37,9.18,105.15,76.68,91,100,5.77
6,Punta Arenas,CL,2020-10-28 21:15:54,-53.15,-70.92,48.2,61,75,18.34
7,Cayenne,GF,2020-10-28 21:17:11,4.93,-52.33,84.2,74,75,3.36
8,Airai,TL,2020-10-28 21:16:39,-8.93,125.41,59.72,77,69,2.19
9,New Norfolk,AU,2020-10-28 21:16:47,-42.78,147.06,54.0,67,5,1.83
10,Lebu,CL,2020-10-28 21:16:25,-37.62,-73.65,52.97,65,3,18.45
11,Kapaa,US,2020-10-28 21:14:51,22.08,-159.32,78.8,83,75,11.41
12,Mahebourg,MU,2020-10-28 21:15:53,-20.41,57.7,71.01,76,64,3.0
13,Katsuura,JP,2020-10-28 21:18:26,35.13,140.3,66.2,68,75,12.75
14,Aklavik,CA,2020-10-28 21:16:10,68.22,-135.01,14.0,85,40,4.7
15,Xuddur,SO,2020-10-28 21:24:39,4.12,43.89,74.46,81,18,11.27
16,Saskylakh,RU,2020-10-28 21:17:37,71.92,114.08,5.5,92,100,13.04
17,Thompson,CA,2020-10-28 21:17:24,55.74,-97.86,17.6,57,75,8.05
18,Fairbanks,US,2020-10-28 21:15:02,64.84,-147.72,18.0,92,90,2.42
19,Kommunisticheskiy,RU,2020-10-28 21:24:40,61.68,64.48,28.76,98,100,8.32
20,Provideniya,RU,2020-10-28 21:15:52,64.38,-173.3,23.0,67,40,0.45
21,Faanui,PF,2020-10-28 21:17:48,-16.48,-151.75,79.77,81,24,17.11
22,Hobart,AU,2020-10-28 21:11:56,-42.88,147.33,54.0,81,20,6.93
23,Bredasdorp,ZA,2020-10-28 21:15:21,-34.53,20.04,66.2,52,100,11.41
24,Vaini,TO,2020-10-28 21:15:48,-21.2,-175.2,75.2,73,20,10.29
25,Tiksi,RU,2020-10-28 21:17:05,71.69,128.87,0.32,90,99,17.65
26,Gat,IL,2020-10-28 21:18:16,31.61,34.76,75.99,100,99,5.64
27,Lakota,CI,2020-10-28 21:24:42,5.85,-5.69,72.66,98,100,3.83
28,Lorengau,PG,2020-10-28 21:18:39,-2.02,147.27,81.63,73,95,3.76
29,Butaritari,KI,2020-10-28 21:16:19,3.07,172.79,80.69,71,100,2.86
30,Busselton,AU,2020-10-28 21:16:56,-33.65,115.33,54.0,56,0,10.63
31,East London,ZA,2020-10-28 21:16:00,-33.02,27.91,68.72,81,93,2.71
32,Ushuaia,AR,2020-10-28 21:11:32,-54.8,-68.3,44.6,75,75,28.86
33,Imbituba,BR,2020-10-28 21:21:18,-28.24,-48.67,75.2,64,20,14.99
34,Ati,TD,2020-10-28 21:21:04,13.22,18.34,88.72,16,0,10.36
35,Fakel,RU,2020-10-28 21:24:44,57.63,53.03,31.62,92,81,11.5
36,Stornoway,GB,2020-10-28 21:24:44,58.21,-6.39,46.4,93,40,10.29
37,Piet Retief,ZA,2020-10-28 21:24:45,-27.01,30.81,63.34,71,96,1.7
38,Nanortalik,GL,2020-10-28 21:19:04,60.14,-45.24,32.76,92,100,14.76
39,Iqaluit,CA,2020-10-28 21:16:20,63.75,-68.51,17.6,67,90,9.17
